2025-11-09 10:48:37,059 | INFO | __main__ | 日志初始化完成：level=INFO, path=E:\Workforce\【昭融汇利】\1. 港股通项目\港股通回测\backtest\output\logs\backtest.log
2025-11-09 10:48:37,074 | INFO | backtest.main | 股票池加载完成：E:\Workforce\【昭融汇利】\1. 港股通项目\港股通回测\港股通因子选股股票池.csv，记录数=3150
2025-11-09 10:48:37,083 | INFO | backtest.main | 已启用 Tushare 数据源
2025-11-09 10:48:37,434 | INFO | backtest.main | 预取价格数据：标的=429，区间=2017-01-24~2025-09-30
2025-11-09 10:50:30,959 | INFO | backtest.main | 2017-01-25 再平衡：目标=30，可交易=30，买入=30，卖出=0，锁定目标=0，锁定卖出=0
2025-11-09 10:50:31,438 | INFO | backtest.main | 2017-03-01 再平衡：目标=30，可交易=30，买入=24，卖出=22，锁定目标=0，锁定卖出=0
2025-11-09 10:50:32,601 | INFO | backtest.main | 2017-03-30 再平衡：目标=30，可交易=29，买入=23，卖出=21，锁定目标=1，锁定卖出=0
2025-11-09 10:50:32,993 | INFO | backtest.main | 2017-05-02 再平衡：目标=30，可交易=30，买入=24，卖出=28，锁定目标=0，锁定卖出=0
2025-11-09 10:50:33,384 | INFO | backtest.main | 2017-06-01 再平衡：目标=30，可交易=30，买入=23，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:50:34,540 | INFO | backtest.main | 2017-07-03 再平衡：目标=30，可交易=29，买入=25，卖出=22，锁定目标=1，锁定卖出=0
2025-11-09 10:50:34,973 | INFO | backtest.main | 2017-08-01 再平衡：目标=30，可交易=30，买入=22，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:50:36,090 | INFO | backtest.main | 2017-09-01 再平衡：目标=30，可交易=29，买入=23，卖出=19，锁定目标=1，锁定卖出=0
2025-11-09 10:50:36,499 | INFO | backtest.main | 2017-09-28 再平衡：目标=30，可交易=30，买入=23，卖出=27，锁定目标=0，锁定卖出=0
2025-11-09 10:50:36,944 | INFO | backtest.main | 2017-11-01 再平衡：目标=30，可交易=30，买入=23，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:50:37,370 | INFO | backtest.main | 2017-12-01 再平衡：目标=30，可交易=30，买入=23，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:50:37,774 | INFO | backtest.main | 2018-01-02 再平衡：目标=30，可交易=30，买入=24，卖出=20，锁定目标=0，锁定卖出=0
2025-11-09 10:50:38,228 | INFO | backtest.main | 2018-02-01 再平衡：目标=30，可交易=30，买入=25，卖出=20，锁定目标=0，锁定卖出=0
2025-11-09 10:50:38,655 | INFO | backtest.main | 2018-03-01 再平衡：目标=30，可交易=30，买入=21，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:50:39,078 | INFO | backtest.main | 2018-04-03 再平衡：目标=30，可交易=30，买入=20，卖出=29，锁定目标=0，锁定卖出=0
2025-11-09 10:50:39,485 | INFO | backtest.main | 2018-04-26 再平衡：目标=30，可交易=30，买入=27，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:50:40,267 | INFO | backtest.main | 2018-06-01 再平衡：目标=30，可交易=29，买入=26，卖出=21，锁定目标=1，锁定卖出=0
2025-11-09 10:50:41,060 | INFO | backtest.main | 2018-07-03 再平衡：目标=30，可交易=29，买入=24，卖出=23，锁定目标=1，锁定卖出=0
2025-11-09 10:50:41,481 | INFO | backtest.main | 2018-08-01 再平衡：目标=30，可交易=30，买入=20，卖出=26，锁定目标=0，锁定卖出=0
2025-11-09 10:50:42,282 | INFO | backtest.main | 2018-09-03 再平衡：目标=30，可交易=29，买入=24，卖出=24，锁定目标=1，锁定卖出=0
2025-11-09 10:50:42,686 | INFO | backtest.main | 2018-09-27 再平衡：目标=30，可交易=30，买入=20，卖出=28，锁定目标=0，锁定卖出=0
2025-11-09 10:50:43,151 | INFO | backtest.main | 2018-11-01 再平衡：目标=30，可交易=30，买入=22，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:50:44,304 | INFO | backtest.main | 2018-12-03 再平衡：目标=30，可交易=29，买入=21，卖出=16，锁定目标=1，锁定卖出=0
2025-11-09 10:50:44,732 | INFO | backtest.main | 2018-12-27 再平衡：目标=30，可交易=30，买入=24，卖出=22，锁定目标=0，锁定卖出=0
2025-11-09 10:50:45,831 | INFO | backtest.main | 2019-01-31 再平衡：目标=30，可交易=29，买入=25，卖出=22，锁定目标=1，锁定卖出=0
2025-11-09 10:50:46,992 | INFO | backtest.main | 2019-03-01 再平衡：目标=30，可交易=29，买入=24，卖出=23，锁定目标=1，锁定卖出=0
2025-11-09 10:50:47,446 | INFO | backtest.main | 2019-04-01 再平衡：目标=30，可交易=30，买入=21，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:50:47,877 | INFO | backtest.main | 2019-04-29 再平衡：目标=30，可交易=30，买入=23，卖出=26，锁定目标=0，锁定卖出=0
